,term,score
232,rapid,0.0
233,results,0.0
234,unit,0.0
235,richer,0.0
236,score,0.0
237,sentence,0.0
238,semantic,0.0
239,selection,0.0
240,selebrity,0.0
241,type,0.0
242,selebrities,0.0
243,seen,0.0
244,second,0.0
245,types,0.0
246,uncased,0.0
247,robustness,0.0
248,sarcasm,0.0
249,sadness,0.0
250,s3,0.0
251,understand,0.0
252,unigram,0.0
253,s2,0.0
254,rule,0.0
255,unique,0.0
256,machine,0.0
257,main,0.0
258,00,0.0
259,love,0.0
260,boazizi,0.0
261,characteristics,0.0
262,certain,0.0
263,cbow,0.0
264,causing,0.0
265,causes,0.0
266,cased,0.0
267,candidate,0.0
268,calculation,0.0
269,built,0.0
270,brought,0.0
271,boost,0.0
272,bilstm,0.0
273,architecture,0.0
274,bidirectional,0.0
275,better,0.0
276,best,0.0
277,bert,0.0
278,bayes,0.0
279,basis,0.0
280,bag,0.0
281,awareness,0.0
282,average,0.0
283,automatically,0.0
284,assess,0.0
285,citizenship,0.0
286,classification,0.0
287,classified,0.0
288,classifier,0.0
289,crime,0.0
290,cosine,0.0
291,corpus,0.0
292,convolutional,0.0
293,conversations,0.0
294,conversation,0.0
295,contribute,0.0
296,contrast,0.0
297,continuous,0.0
298,continuing,0.0
299,contextual,0.0
300,contains,0.0
301,contained,0.0
302,contain,0.0
303,consuming,0.0
304,consist,0.0
305,conducted,0.0
306,compared,0.0
307,communication,0.0
308,combining,0.0
309,combination,0.0
310,classifying,0.0
311,classify,0.0
312,articles,0.0
313,approach,0.0
314,criticism,0.0
315,49,0.0
316,81,0.0
317,80,0.0
318,79,0.0
319,78,0.0
320,7666,0.0
321,76,0.0
322,75,0.0
323,74,0.0
324,66,0.0
325,62,0.0
326,60,0.0
327,421,0.0
328,applied,0.0
329,29,0.0
330,27,0.0
331,21,0.0
332,200,0.0
333,1805,0.0
334,1683,0.0
335,131,0.0
336,109,0.0
337,10,0.0
338,08,0.0
339,001,0.0
340,83,0.0
341,84,0.0
342,85,0.0
343,86,0.0
344,anticipation,0.0
345,anger,0.0
346,andnegative,0.0
347,amounted,0.0
348,algorithm,0.0
349,aims,0.0
350,agnes,0.0
351,advancement,0.0
352,address,0.0
353,additional,0.0
354,addition,0.0
355,act,0.0
356,achieved,0.0
357,accurate,0.0
358,accuracy,0.0
359,according,0.0
360,abusive,0.0
361,abundant,0.0
362,99,0.0
363,96,0.0
364,94,0.0
365,93,0.0
366,91,0.0
367,criminal,0.0
368,currently,0.0
369,look,0.0
370,hidden,0.0
371,image,0.0
372,ignorance,0.0
373,idf,0.0
374,hybrid,0.0
375,humans,0.0
376,human,0.0
377,hot,0.0
378,hoaxes,0.0
379,hoax,0.0
380,highest,0.0
381,higher,0.0
382,help,0.0
383,fine,0.0
384,hatred,0.0
385,hate,0.0
386,groups,0.0
387,group,0.0
388,gram,0.0
389,government,0.0
390,good,0.0
391,generally,0.0
392,general,0.0
393,gender,0.0
394,gated,0.0
395,impression,0.0
396,improve,0.0
397,improves,0.0
398,include,0.0
399,long,0.0
400,likely,0.0
401,life,0.0
402,lexical,0.0
403,level,0.0
404,learning,0.0
405,layers,0.0
406,layer,0.0
407,larger,0.0
408,language,0.0
409,lack,0.0
410,joy,0.0
411,issued,0.0
412,issue,0.0
413,involved,0.0
414,internet,0.0
415,institutions,0.0
416,influence,0.0
417,indonesia,0.0
418,indobert,0.0
419,increased,0.0
420,incorrect,0.0
421,including,0.0
422,forest,0.0
423,finding,0.0
424,data,0.0
425,difference,0.0
426,economic,0.0
427,early,0.0
428,dynamic,0.0
429,dominant,0.0
430,document,0.0
431,doctoral,0.0
432,divided,0.0
433,disparages,0.0
434,discussion,0.0
435,difficult,0.0
436,different,0.0
437,develops,0.0
438,filter,0.0
439,development,0.0
440,determine,0.0
441,determination,0.0
442,detection,0.0
443,detect,0.0
444,destruction,0.0
445,demonstrate,0.0
446,degree,0.0
447,deep,0.0
448,datasets,0.0
449,dataset,0.0
450,effect,0.0
451,embedding,0.0
452,emotions,0.0
453,enforced,0.0
454,feelings,0.0
455,feedbacks,0.0
456,features,0.0
457,feature,0.0
458,fear,0.0
459,fairly,0.0
460,factor,0.0
461,fact,0.0
462,f1,0.0
463,extractive,0.0
464,extraction,0.0
465,extracting,0.0
466,extracted,0.0
467,expressions,0.0
468,express,0.0
469,experimental,0.0
470,expected,0.0
471,existence,0.0
472,examines,0.0
473,evaluation,0.0
474,ethnicity,0.0
475,essential,0.0
476,epoch,0.0
477,written,0.0
